iter	Logloss
0	0.586720924
1	0.5268116977
2	0.5010837687
3	0.4900097642
4	0.473036496
5	0.4684906629
6	0.4606283655
7	0.4548216554
8	0.447594185
9	0.4446526309
10	0.442271909
11	0.437517317
12	0.4350608658
13	0.4335432782
14	0.4308226381
15	0.4279595291
16	0.426094327
17	0.4247200561
18	0.4220350904
19	0.4205178107
20	0.4191334541
21	0.4181302781
22	0.4173945866
23	0.4162344324
24	0.4148560314
25	0.4135207521
26	0.4122908105
27	0.4107925096
28	0.4078819483
29	0.4057079888
30	0.4047344345
31	0.4037535708
32	0.4019609003
33	0.3994832873
34	0.3980163352
35	0.3968592062
36	0.3965794542
37	0.3951484944
38	0.3929596083
39	0.3910404803
40	0.3884761284
41	0.3860919266
42	0.3852480507
43	0.382831585
44	0.3798987108
45	0.3776151885
46	0.3747877209
47	0.3717685527
48	0.3701218791
49	0.3672884334
50	0.3650190972
51	0.3622544192
52	0.3590357553
53	0.3556680395
54	0.3528156782
55	0.349493831
56	0.3472949607
57	0.3449341624
58	0.3424998865
59	0.3401541469
60	0.3386525599
61	0.335810604
62	0.3329936787
63	0.3290275852
64	0.3273335823
65	0.3244372521
66	0.3217077807
67	0.3194871262
68	0.3182459443
69	0.3160429928
70	0.3150040284
71	0.3117266734
72	0.3097844676
73	0.3069529039
74	0.3044869114
75	0.3026482596
76	0.3009622812
77	0.2989826545
78	0.2977336507
79	0.2953538086
80	0.2931177807
81	0.29096486
82	0.2891326016
83	0.2873206779
84	0.2853294135
85	0.2820671898
86	0.2799410747
87	0.2779604223
88	0.2758883108
89	0.2745318852
90	0.2717378098
91	0.2697532458
92	0.2673880539
93	0.2651759837
94	0.2632703995
95	0.2610338638
96	0.2594307052
97	0.2581242529
98	0.2561979431
99	0.255247882
100	0.2531306824
101	0.2516646056
102	0.249352494
103	0.2473703876
104	0.2457389892
105	0.2442319722
106	0.2422497052
107	0.2404638995
108	0.2383490537
109	0.2365047092
110	0.2341222586
111	0.2333458395
112	0.2315048895
