ID,odor
2,a
3,l
4,p
5,n
6,a
7,a
8,l
9,p
10,a
11,l
12,a
13,a
14,p
15,n
16,n
17,n
18,p
19,p
20,p
21,a
22,p
23,l
24,a
25,l
26,p
27,a
28,l
29,n
30,a
31,l
32,p
33,l
34,l
35,l
36,l
37,n
38,p
39,a
40,l
41,a
42,l
43,n
44,p
45,a
46,a
47,l
48,l
49,l
50,l
51,a
52,l
53,l
54,p
55,p
56,a
57,n
58,a
59,l
60,a
61,n
62,a
63,l
64,l
65,l
66,n
67,l
68,a
69,a
70,n
71,l
72,l
73,l
74,a
75,a
76,l
77,l
78,l
79,p
80,a
81,n
82,p
83,n
84,n
85,l
86,n
87,a
88,l
89,l
90,n
91,n
92,l
93,a
94,l
95,n
96,a
97,l
98,a
99,a
100,a
101,n
102,l
103,l
104,a
105,l
106,a
107,a
108,l
109,a
110,a
111,l
112,n
113,a
114,a
115,p
116,l
117,n
118,l
119,l
120,n
121,p
122,a
123,p
124,n
125,l
126,n
127,a
128,n
129,l
130,l
131,l
132,l
133,l
134,l
135,a
136,p
137,l
138,a
139,p
140,l
141,a
142,l
143,n
144,a
145,a
146,n
147,n
148,l
149,l
150,a
151,a
152,n
153,l
154,n
155,a
156,l
157,a
158,a
159,a
160,a
161,l
162,a
163,n
164,l
165,a
166,l
167,a
168,a
169,l
170,a
171,n
172,l
173,l
174,a
175,l
176,l
177,a
178,a
179,l
180,l
181,p
182,n
183,n
184,a
185,a
186,p
187,l
188,n
189,l
190,a
191,n
192,l
193,l
194,a
195,a
196,n
197,a
198,l
199,l
200,a
201,l
202,l
203,a
204,n
205,l
206,p
207,a
208,a
209,l
210,a
211,a
212,l
213,a
214,n
215,a
216,l
217,a
218,a
219,l
220,n
221,a
222,p
223,a
224,a
225,l
226,l
227,a
228,a
229,p
230,a
231,n
232,p
233,l
234,n
235,l
236,l
237,l
238,l
239,l
240,a
241,a
242,l
243,a
244,p
245,a
246,l
247,l
248,a
249,l
250,n
251,a
252,p
253,n
254,l
255,l
256,l
257,n
258,a
259,l
260,a
261,l
262,p
263,a
264,a
265,l
266,n
267,n
268,a
269,a
270,p
271,l
272,p
273,l
274,a
275,a
276,a
277,a
278,a
279,n
280,l
281,p
282,a
283,n
284,l
285,l
286,a
287,a
288,a
289,l
290,n
291,n
292,l
293,l
294,l
295,a
296,a
297,a
298,n
299,a
300,p
