iter	Passed	Remaining
0	2	1501
1	4	1326
2	6	1242
3	8	1216
4	10	1204
5	12	1190
6	14	1181
7	16	1183
8	18	1213
9	20	1210
10	22	1199
11	24	1188
12	26	1178
13	28	1171
14	30	1161
15	32	1168
16	34	1164
17	36	1161
18	38	1159
19	40	1152
20	42	1149
21	44	1145
22	46	1145
23	48	1143
24	50	1144
25	52	1139
26	54	1135
27	56	1129
28	58	1128
29	60	1125
30	62	1123
31	64	1124
32	66	1123
33	68	1122
34	70	1119
35	72	1117
36	74	1113
37	76	1110
38	78	1111
39	80	1110
40	82	1112
41	85	1116
42	87	1118
43	89	1118
44	92	1119
45	94	1118
46	96	1118
47	98	1121
48	101	1120
49	103	1119
50	105	1118
51	107	1116
52	109	1115
53	111	1112
54	113	1110
55	115	1106
56	117	1104
57	119	1101
58	121	1097
59	123	1095
60	125	1094
61	127	1090
62	129	1087
63	131	1084
64	133	1081
65	135	1078
66	137	1077
67	139	1076
68	141	1072
69	143	1071
70	145	1069
71	148	1069
72	150	1067
73	152	1065
74	154	1062
75	156	1059
76	158	1057
77	160	1056
78	162	1056
79	164	1054
80	166	1050
81	168	1050
82	170	1048
83	173	1047
84	175	1045
85	177	1043
86	179	1042
87	181	1039
88	183	1037
89	185	1033
90	187	1030
91	189	1028
92	191	1025
93	193	1023
94	195	1022
95	197	1021
96	199	1019
97	201	1016
98	203	1013
99	205	1012
100	207	1009
101	209	1007
102	212	1006
103	214	1005
104	216	1003
105	218	1000
106	220	998
107	222	996
108	224	994
109	226	994
110	229	992
111	231	991
112	233	989
