engine-size,city-mpg,curb-weight,price
130,21,2548,13495.0
130,21,2548,16500.0
152,19,2823,16500.0
109,24,2337,13950.0
136,18,2824,17450.0
136,19,2507,15250.0
136,19,2844,17710.0
136,19,2954,18920.0
131,17,3086,23875.0
131,16,3053,
108,23,2395,16430.0
108,23,2395,16925.0
164,21,2710,20970.0
164,21,2765,21105.0
164,20,3055,24565.0
209,16,3230,30760.0
209,16,3380,41315.0
209,15,3505,36880.0
61,47,1488,5151.0
90,38,1874,6295.0
90,38,1909,6575.0
90,37,1876,5572.0
90,31,1876,6377.0
98,24,2128,7957.0
90,31,1967,6229.0
90,31,1989,6692.0
90,31,1989,7609.0
98,24,2191,8558.0
122,24,2535,8921.0
156,19,2811,12964.0
92,49,1713,6479.0
92,31,1819,6855.0
79,38,1837,5399.0
92,30,1940,6529.0
92,30,1956,7129.0
92,30,2010,7295.0
92,30,2024,7295.0
110,27,2236,7895.0
110,27,2289,9095.0
110,27,2304,8845.0
110,27,2372,10295.0
110,24,2465,12945.0
110,25,2293,10345.0
111,24,2337,6785.0
90,38,1874,
90,38,1909,
119,24,2734,11048.0
258,15,4066,32250.0
258,15,4066,35550.0
326,13,3950,36000.0
91,30,1890,5195.0
91,31,1900,6095.0
91,31,1905,6795.0
91,31,1945,6695.0
91,31,1950,7395.0
70,17,2380,10945.0
70,17,2380,11845.0
70,17,2385,13645.0
80,16,2500,15645.0
122,26,2385,8845.0
122,26,2410,8495.0
122,26,2385,10595.0
122,26,2410,10245.0
122,36,2443,10795.0
122,26,2425,11245.0
140,19,2670,18280.0
134,31,2700,18344.0
183,22,3515,25552.0
183,22,3750,28248.0
183,22,3495,28176.0
183,22,3770,31600.0
234,16,3740,34184.0
234,16,3685,35056.0
308,14,3900,40960.0
304,14,3715,45400.0
140,19,2910,16503.0
92,37,1918,5389.0
92,31,1944,6189.0
92,31,2004,6669.0
98,24,2145,7689.0
110,23,2370,9959.0
122,25,2328,8499.0
156,19,2833,12629.0
156,19,2921,14869.0
156,19,2926,14489.0
122,25,2365,6989.0
122,25,2405,8189.0
110,23,2403,9279.0
110,23,2403,9279.0
97,31,1889,5499.0
103,45,2017,7099.0
97,31,1918,6649.0
97,31,1938,6849.0
97,31,2024,7349.0
97,31,1951,7299.0
97,31,2028,7799.0
97,31,1971,7499.0
97,31,2037,7999.0
97,31,2008,8249.0
120,27,2324,8949.0
120,27,2302,9549.0
181,17,3095,13499.0
181,17,3296,14399.0
181,19,3060,13499.0
181,19,3071,17199.0
181,17,3139,19699.0
181,19,3139,18399.0
120,19,3020,11900.0
152,28,3197,13200.0
120,19,3230,12440.0
152,25,3430,13860.0
120,19,3075,15580.0
152,28,3252,16900.0
120,19,3285,16695.0
152,25,3485,17075.0
120,19,3075,16630.0
152,28,3252,17950.0
134,18,3130,18150.0
90,37,1918,5572.0
98,24,2128,7957.0
90,31,1967,6229.0
90,31,1989,6692.0
98,31,2191,7609.0
122,24,2535,8921.0
156,19,2818,12764.0
151,19,2778,22018.0
194,17,2756,32528.0
194,17,2756,34028.0
194,17,2800,37028.0
203,17,3366,
132,23,2579,9295.0
132,23,2460,9895.0
121,21,2658,11850.0
121,21,2695,12170.0
121,21,2707,15040.0
121,21,2758,15510.0
121,19,2808,18150.0
121,19,2847,18620.0
97,31,2050,5118.0
108,26,2120,7053.0
108,26,2240,7603.0
108,32,2145,7126.0
108,28,2190,7775.0
108,26,2340,9960.0
108,24,2385,9233.0
108,24,2510,11259.0
108,28,2290,7463.0
108,25,2455,10198.0
108,23,2420,8013.0
108,23,2650,11694.0
92,35,1985,5348.0
92,31,2040,6338.0
92,31,2015,6488.0
92,31,2280,6918.0
92,27,2290,7898.0
92,27,3110,8778.0
98,30,2081,6938.0
98,30,2109,7198.0
110,34,2275,7898.0
110,38,2275,7788.0
98,38,2094,7738.0
98,28,2122,8358.0
98,28,2140,9258.0
98,29,2169,8058.0
98,29,2204,8238.0
98,26,2265,9298.0
98,26,2300,9538.0
146,24,2540,8449.0
146,24,2536,9639.0
146,24,2551,9989.0
146,24,2679,11199.0
146,24,2714,11549.0
146,24,2975,17669.0
122,29,2326,8948.0
110,30,2480,10698.0
122,27,2414,9988.0
122,27,2414,10898.0
122,27,2458,11248.0
171,20,2976,16558.0
171,19,3016,15998.0
171,20,3131,15690.0
161,19,3151,15750.0
97,37,2261,7775.0
109,27,2209,7975.0
97,37,2264,7995.0
109,27,2212,8195.0
109,27,2275,8495.0
97,37,2319,9495.0
109,26,2300,9995.0
109,24,2254,11595.0
109,24,2221,9980.0
136,19,2661,13295.0
97,33,2579,13845.0
109,25,2563,12290.0
141,23,2912,12940.0
141,23,3034,13415.0
141,24,2935,15985.0
141,24,3042,16515.0
130,17,3045,18420.0
130,17,3157,18950.0
141,23,2952,16845.0
141,19,3049,19045.0
173,18,3012,21485.0
145,26,3217,22470.0
141,19,3062,22625.0
